股票代码,股票简称,主营行业,地区,流通市值
300438,鹏辉能源,有色金属,广州市,101.27
300363,博腾股份,医药生物,重庆市,99.98
002563,森马服饰,纺织服装,温州市,98.43
300677,英科医疗,医药生物,淄博市,97.30
300244,迪安诊断,医药生物,杭州市,96.25
603267,鸿远电子,电子设备,北京市,90.42
000401,冀东水泥,建材,唐山市,87.89
002690,美亚光电,机械设备,合肥市,85.82
301029,怡合达,机械设备,东莞市,85.24
002326,永太科技,基础化工,台州市,84.42
002505,鹏都农牧,商贸零售,长沙市,81.59
300861,美畅股份,有色金属,咸阳市,81.23
300776,帝尔激光,机械设备,武汉市,80.23
603026,胜华新材,基础化工,东营市,78.40
603529,爱玛科技,交运设备,天津市,72.36
001286,陕西能源,公用事业,榆林市,71.25
300888,稳健医疗,医药生物,深圳市,68.71
002791,坚朗五金,机械设备,东莞市,64.47
003031,中瓷电子,电子设备,石家庄市,62.76
300850,新强联,机械设备,洛阳市,59.83
600032,浙江新能,公用事业,杭州市,40.86
001203,大中矿业,钢铁,巴彦淖尔市,40.79
601061,中信金属,商贸零售,北京市,40.14
600925,苏能股份,化石能源,徐州市,37.20
