股票代码,购买信号,行情地址,备注
600009,-2,https://xueqiu.com/S/SH600009,
600000,-2,https://xueqiu.com/S/SH600000,
300999,-2,https://xueqiu.com/S/SZ300999,
300979,-2,https://xueqiu.com/S/SZ300979,
300957,-60,https://xueqiu.com/S/SZ300957,
300919,-2,https://xueqiu.com/S/SZ300919,
300896,-60,https://xueqiu.com/S/SZ300896,
300782,-60,https://xueqiu.com/S/SZ300782,
300769,-60,https://xueqiu.com/S/SZ300769,
300763,-60,https://xueqiu.com/S/SZ300763,
300760,-60,https://xueqiu.com/S/SZ300760,
300759,-2,https://xueqiu.com/S/SZ300759,
300751,-60,https://xueqiu.com/S/SZ300751,
300750,-60,https://xueqiu.com/S/SZ300750,
300661,-60,https://xueqiu.com/S/SZ300661,
300628,-2,https://xueqiu.com/S/SZ300628,
300601,-2,https://xueqiu.com/S/SZ300601,
300498,-2,https://xueqiu.com/S/SZ300498,
300496,-60,https://xueqiu.com/S/SZ300496,
300454,-60,https://xueqiu.com/S/SZ300454,
300450,-2,https://xueqiu.com/S/SZ300450,
300433,-2,https://xueqiu.com/S/SZ300433,
300413,1,https://xueqiu.com/S/SZ300413,
300408,-2,https://xueqiu.com/S/SZ300408,
300347,-60,https://xueqiu.com/S/SZ300347,
300316,-60,https://xueqiu.com/S/SZ300316,
300274,-60,https://xueqiu.com/S/SZ300274,
300223,-60,https://xueqiu.com/S/SZ300223,
300207,-2,https://xueqiu.com/S/SZ300207,
300142,-2,https://xueqiu.com/S/SZ300142,
300124,-60,https://xueqiu.com/S/SZ300124,
300122,-2,https://xueqiu.com/S/SZ300122,
300059,-2,https://xueqiu.com/S/SZ300059,
300033,-60,https://xueqiu.com/S/SZ300033,
300015,-2,https://xueqiu.com/S/SZ300015,
300014,-2,https://xueqiu.com/S/SZ300014,
003816,-2,https://xueqiu.com/S/SZ003816,
002938,-2,https://xueqiu.com/S/SZ002938,
002920,-60,https://xueqiu.com/S/SZ002920,
002916,-60,https://xueqiu.com/S/SZ002916,
002841,-60,https://xueqiu.com/S/SZ002841,
002821,-60,https://xueqiu.com/S/SZ002821,
002812,-60,https://xueqiu.com/S/SZ002812,
002756,-60,https://xueqiu.com/S/SZ002756,
002736,-2,https://xueqiu.com/S/SZ002736,
002714,-2,https://xueqiu.com/S/SZ002714,
002709,-2,https://xueqiu.com/S/SZ002709,
002648,-2,https://xueqiu.com/S/SZ002648,
002601,-2,https://xueqiu.com/S/SZ002601,
002594,-60,https://xueqiu.com/S/SZ002594,
002555,2,https://xueqiu.com/S/SZ002555,
002493,-2,https://xueqiu.com/S/SZ002493,
002475,-2,https://xueqiu.com/S/SZ002475,
002466,-60,https://xueqiu.com/S/SZ002466,
002460,-60,https://xueqiu.com/S/SZ002460,
002459,-2,https://xueqiu.com/S/SZ002459,
002415,-2,https://xueqiu.com/S/SZ002415,
002414,-2,https://xueqiu.com/S/SZ002414,
002410,-2,https://xueqiu.com/S/SZ002410,
002371,-60,https://xueqiu.com/S/SZ002371,
002352,-2,https://xueqiu.com/S/SZ002352,
002311,-2,https://xueqiu.com/S/SZ002311,
002304,-60,https://xueqiu.com/S/SZ002304,
002271,-2,https://xueqiu.com/S/SZ002271,
002252,2,https://xueqiu.com/S/SZ002252,
002241,-2,https://xueqiu.com/S/SZ002241,
002236,-2,https://xueqiu.com/S/SZ002236,
002230,-60,https://xueqiu.com/S/SZ002230,
002202,-2,https://xueqiu.com/S/SZ002202,
002180,-2,https://xueqiu.com/S/SZ002180,
002179,-2,https://xueqiu.com/S/SZ002179,
002142,-2,https://xueqiu.com/S/SZ002142,
002129,-2,https://xueqiu.com/S/SZ002129,
002120,-2,https://xueqiu.com/S/SZ002120,
002074,-2,https://xueqiu.com/S/SZ002074,
002064,-2,https://xueqiu.com/S/SZ002064,
002050,2,https://xueqiu.com/S/SZ002050,
002049,-60,https://xueqiu.com/S/SZ002049,
002027,1,https://xueqiu.com/S/SZ002027,
002007,-2,https://xueqiu.com/S/SZ002007,
002001,-2,https://xueqiu.com/S/SZ002001,
001979,-2,https://xueqiu.com/S/SZ001979,
001289,1,https://xueqiu.com/S/SZ001289,
000983,-2,https://xueqiu.com/S/SZ000983,
000977,-60,https://xueqiu.com/S/SZ000977,
000963,-2,https://xueqiu.com/S/SZ000963,
000938,2,https://xueqiu.com/S/SZ000938,
000895,-2,https://xueqiu.com/S/SZ000895,
000877,-2,https://xueqiu.com/S/SZ000877,
000876,-2,https://xueqiu.com/S/SZ000876,
000858,-60,https://xueqiu.com/S/SZ000858,
000800,0,https://xueqiu.com/S/SZ000800,
000792,-2,https://xueqiu.com/S/SZ000792,
000786,-2,https://xueqiu.com/S/SZ000786,
000776,-2,https://xueqiu.com/S/SZ000776,
000768,-2,https://xueqiu.com/S/SZ000768,
000733,-60,https://xueqiu.com/S/SZ000733,
000725,-2,https://xueqiu.com/S/SZ000725,
000723,-2,https://xueqiu.com/S/SZ000723,
000708,-2,https://xueqiu.com/S/SZ000708,
000661,-60,https://xueqiu.com/S/SZ000661,
000651,0,https://xueqiu.com/S/SZ000651,
000625,-2,https://xueqiu.com/S/SZ000625,
000617,-2,https://xueqiu.com/S/SZ000617,
000596,-60,https://xueqiu.com/S/SZ000596,
000568,-60,https://xueqiu.com/S/SZ000568,
000538,-2,https://xueqiu.com/S/SZ000538,
000425,0,https://xueqiu.com/S/SZ000425,
000408,-2,https://xueqiu.com/S/SZ000408,
000338,1,https://xueqiu.com/S/SZ000338,
000333,1,https://xueqiu.com/S/SZ000333,
000301,-2,https://xueqiu.com/S/SZ000301,
000166,0,https://xueqiu.com/S/SZ000166,
000157,1,https://xueqiu.com/S/SZ000157,
000100,-2,https://xueqiu.com/S/SZ000100,
000069,-2,https://xueqiu.com/S/SZ000069,
000063,2,https://xueqiu.com/S/SZ000063,
000002,-2,https://xueqiu.com/S/SZ000002,
000001,-2,https://xueqiu.com/S/SZ000001,
